lat,lng,id,distance
18.55225,73.88944,19759161,0
18.55303044,73.8919941,11079,3.566256701829888e-06
18.5558647,73.89063288,19253569,4.942974818009854e-06
18.55615794,73.89309254,18693422,3.0679585065981862e-06
18.55650372,73.89359093,18450492,1.8397820025206948e-07
18.55695548,73.89385291,18566930,1.363603090015608e-07
18.5586905,73.8929836,19855938,1.8829971382642465e-06
18.55942637,73.89580866,19926564,4.261234330267823e-06
18.55800279,73.89590924,19688413,1.018348176400679e-06
18.55344778,73.89676273,19739356,1.0738280640112924e-05
18.55260076,73.89868319,19820681,2.2028047459867007e-06
