lat,lng,id,distance
18.55225,73.88944,19759161,0
18.55303044,73.8919941,11079,0.283
18.5558647,73.89063288,19253569,0.3464
18.55615794,73.89309254,18693422,0.2614
18.55650372,73.89359093,18450492,0.0651
18.55695548,73.89385291,18566930,0.0573
18.5586905,73.8929836,19855938,0.2136
18.55942637,73.89580866,19926564,0.3089
18.55800279,73.89590924,19688413,0.1587
18.55344778,73.89676273,19739356,0.5146
18.55260076,73.89868319,19820681,0.2234
18.5538671,73.89904816,19335901,0.146
18.54969678,73.90093524,11882,0.5047
18.54923398,73.90247449,19410081,0.1703
18.54957409,73.90259083,19222396,0.0398
18.54813259,73.90414383,18401551,0.2292
18.54831,73.90556,19624081,0.1506
18.54804,73.9056,19624251,0.0303
18.54792567,73.90599623,18470699,0.0437
18.54790532,73.90602339,19662087,0.0037
18.54790532,73.90602339,18470685,0.0
18.54830837,73.90604686,18526247,0.0449
18.54846698,73.90599757,18545182,0.0184
18.548876,73.906114,19690918,0.0471
18.548876,73.906114,19424877,0.0
18.548876,73.906114,19035820,0.0
18.54891358,73.90616756,18621253,0.007
18.54899908,73.90614241,6506692,0.0099
18.54629058,73.90421692,19686057,0.3633
18.54542917,73.90637744,18554640,0.2472
18.54555823,73.90663467,19365708,0.0307
18.54574926,73.90795089,19276283,0.1404
18.54542472,73.90883256,19817272,0.0997
18.54635734,73.9146923,19862877,0.6266
18.5475255,73.9155372,19759306,0.1575
18.5475255,73.9155372,19743259,0.0
18.5475255,73.9155372,19744713,0.0
18.54750667,73.91557286,19679970,0.0043
18.5475067,73.91557874,19683727,0.0006
18.54933061,73.91580574,19290034,0.2043
18.54947714,73.91532093,19339100,0.0537
18.549274,73.916965,19323201,0.1748
18.54879978,73.91826902,18631647,0.1473
18.54776146,73.91827206,19860198,0.1155
18.54748,73.91801,19394328,0.0418
18.550037,73.918107,19693060,0.2846
18.55104926,73.91648334,19646180,0.2049
18.55095717,73.91621401,18430409,0.0302
18.5516146,73.916004,19733254,0.0764
18.55238997,73.91816529,19679592,0.2437
18.55234928,73.91820431,19678734,0.0061
18.55436422,73.91958221,19819645,0.2671
18.554611,73.919513,19772778,0.0284
18.55454245,73.92079365,19255725,0.1353
18.553627,73.921347,19793503,0.1174
